Your use of Forkawesome,"How do you implement icon use? (In general, not exclusive to Forkawesome) | icon font, <i>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <svg> (raw, copy-paste)","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <svg> (via template)","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <object>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <img>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <iframe>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, <embed>","How do you implement icon use? (In general, not exclusive to Forkawesome) | SVG, {background-image}","How do you implement icon use? (In general, not exclusive to Forkawesome) | other",How do the perceive the following aspects of Forkawesome? | style of icons,How do the perceive the following aspects of Forkawesome? | number/coverage of icons,How do the perceive the following aspects of Forkawesome? | frequency of releases,How do the perceive the following aspects of Forkawesome? | ease of font icon use,How do the perceive the following aspects of Forkawesome? | ease of SVG use,How do the perceive the following aspects of Forkawesome? | ease of cross-platform use,How do the perceive the following aspects of Forkawesome? | licensing,How do the perceive the following aspects of Forkawesome? | governance/management of project,"How do the following free, open-source icon sets compare, overall, to Forkawesome? | Google material icons https://fonts.google.com/icons?selected=Material+Icons","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Arcticons https://arcticons.onnno.nl/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Jam icons https://jam-icons.com/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Fontawesome free https://fontawesome.com/search?o=r&m=free","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Icomoon free pack https://icomoon.io/#preview-free","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Pixellove free icons https://www.pixellove.com/free-icons/line/simple/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Ionicons https://ionic.io/ionicons","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Dripicons http://demo.amitjakhu.com/dripicons/","How do the following free, open-source icon sets compare, overall, to Forkawesome? | Bootstrap icons https://icons.getbootstrap.com","How do the following free, open-source icon sets compare, overall, to Forkawesome? | (your favorite one not mentioned here)",I think it would be best for Forkawesome...
I use Forkawesome currently for most of my project,preferred,never,never,never,never,never,never,never,never,very positive,very positive,no opinion,very positive,no opinion,no opinion,very positive,very positive,worse,no opinion,no opinion,much worse,no opinion,no opinion,no opinion,no opinion,worse,no opinion,"... to continue as before (long, uncertain periods between releases)"
I use Forkawesome currently for some of my projects,never,sometimes,sometimes,sometimes,preferred,sometimes,sometimes,preferred,never,very negative,negative,negative,postive,very positive,postive,very positive,very positive,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,,... to focus on SVG usage
I have never used Forkawesome,preferred,sometimes,never,never,sometimes,never,never,sometimes,never,postive,postive,negative,postive,negative,postive,no opinion,no opinion,worse,no opinion,no opinion,better,worse,no opinion,no opinion,no opinion,worse,no opinion,... to become much more active (requires new people/energy)
I use Forkawesome currently for some of my projects,preferred,,,,,,,,,postive,postive,negative,very positive,postive,very positive,very positive,postive,no opinion,worse,no opinion,worse,worse,no opinion,no opinion,no opinion,no opinion,,"... to become much more active (requires new people/energy),... to focus on SVG usage"
I used Forkawesome in the past,sometimes,sometimes,never,never,sometimes,never,never,sometimes,never,postive,no opinion,negative,postive,no opinion,postive,postive,negative,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,
I use Forkawesome currently for some of my projects,,,,,,,,,,very positive,very positive,negative,,,,,very negative,much worse,no opinion,no opinion,much worse,no opinion,no opinion,no opinion,no opinion,much worse,,... to become much more active (requires new people/energy)
I use Forkawesome currently for most of my project,preferred,sometimes,sometimes,never,never,never,never,never,never,postive,postive,very negative,very positive,very positive,no opinion,very positive,negative,no opinion,no opinion,no opinion,worse,no opinion,no opinion,no opinion,no opinion,worse,no opinion,... to become much more active (requires new people/energy)
I use Forkawesome currently for some of my projects,preferred,,,,,,,,,postive,postive,no opinion,very positive,,no opinion,no opinion,postive,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,
I use Forkawesome currently for most of my project,never,never,never,never,never,never,never,never,preferred,postive,negative,very negative,no opinion,no opinion,very negative,postive,very negative,no opinion,no opinion,no opinion,worse,no opinion,no opinion,no opinion,no opinion,no opinion,no opinion,... to become much more active (requires new people/energy)
I use Forkawesome currently for some of my projects,sometimes,preferred,preferred,never,never,never,never,never,never,postive,postive,postive,postive,postive,postive,postive,postive,no opinion,no opinion,no opinion,worse,no opinion,no opinion,no opinion,no opinion,worse,,... to become much more active (requires new people/energy)
I use Forkawesome currently for some of my projects,preferred,,sometimes,,sometimes,,,,,postive,postive,very negative,very positive,no opinion,no opinion,very positive,no opinion,no opinion,no opinion,no opinion,much worse,no opinion,no opinion,no opinion,no opinion,no opinion,,"... to become much more active (requires new people/energy),... to focus on SVG usage"
I used Forkawesome in the past,preferred,,,,,,,,,postive,negative,,postive,negative,no opinion,postive,no opinion,,,,better,,,better,,,,... to encourage users towards other projects (legacy mode)
I used Forkawesome in the past,sometimes,never,never,never,preferred,never,never,never,preferred,postive,negative,very positive,postive,very positive,very positive,very positive,very positive,much worse,no opinion,no opinion,much worse,worse,no opinion,no opinion,no opinion,much worse,much better,... to focus on SVG usage
